Location,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Alberta,7682,8133,8689,9175,9760,10185,10362,10757,11337,11785,12251,13122,14025,14729,15838,17061,18007,18877,19976,21542
British Columbia,9112,9707,10498,11247,12032,12744,13432,14281,15189,15991,16386,17149,17715,18564,19527,20626,21656,22358,23432,24403
Manitoba,2928,3088,3247,3399,3490,3551,3673,3897,4086,4240,4324,4508,4648,4865,5056,5281,5510,5644,5883,6158
New Brunswick,1751,1851,1950,2035,2141,2242,2316,2392,2451,2512,2587,2672,2787,2922,3064,3176,3299,3380,3480,3582
Newfoundland and Labrador,1276,1358,1416,1490,1545,1612,1620,1663,1706,1740,1790,1862,1926,2009,2099,2234,2288,2372,2452,2473
Nova Scotia,2283,2408,2553,2682,2794,2866,2921,3028,3124,3213,3386,3518,3690,3870,4060,4243,4462,4572,4698,4812
Ontario,28202,30666,33126,35358,36624,36860,37291,38623,40407,42372,43377,46280,49396,52492,56696,59484,62539,64538,66480,68546
Quebec,18844,20118,21235,22136,22671,23205,23401,24287,25400,26336,27532,28743,30044,31458,33018,34552,35718,36777,37964,39165
Saskatchewan,2536,2717,2806,2883,2949,3006,3037,3178,3380,3552,3711,3889,4070,4192,4342,4502,4684,4838,4988,5157
Prince Edward Island,0,0,0,0,0,0,0,0,0,440,464,480,496,527,563,589,616,630,646,662
